groupe;zone;n_rel;code_rel;versant;latitude;longitude;rec_espece_dominante_arboree;a_ARBUNE;a_CUPSEM;a_QUEILE;a_PINHAL;a_PHIANG;a_PHILAT;a_PISLEN;a_VIBTIN;a_CUPsp;a_CUPMAC;rec_tot;AJUIVA;ANISTE;APIsp;APHMON;ARBUNE;ASPOFF;ARUITA;ARTHER;ASPACU;ASTsp;BELSYL;BITBIT;BISLAE;BRARAM;BRARET;BOTISC;BROERE;BUPRIG;CARsp;CENPAN;CEPLEU;CIRARV;CIRMON;CISMON;CISALB;CLEFLA;CLEVIT;CLINEP;CLAFUR;CONMAC;CONCAN;CORMAJ;CORVAL;CREBUR;CREMOL;CRESAN;CREsp;DACGLO;DACHIS;DORPEN;ECHVUL;ERICAN;ERIGER;EUGsp;EUPCHA;EUPCYP;EUPsp;FESsp;FILLAT;FRAORN;FUMCAP;GALAPA;GAUPRO;GENSCO;GERANI;GERROB;GERROT;GLOBIS;HEDHEL;HIEsp;HIECAE;HIEGLA;HIMROB;HYPsp;HYPRAD;JUNOXY;LAUNOB;LACPER;LACVIR;LONJAP;LINNAR;LINsp;LONICE;LONIMP;LONPER;LOTDOR;NARASS;NEPCAT;OLOMIL;ONOMIN;ONONAT;PETSED;PHIANG;PHILAT;PICHIE;PINHAL;PIPMIL;PISLEN;PISTER;PLALAN;POTREP;POTSAN;QUECOC;QUEILE;QUEPUB;RAMALA;REIPIC;RHAALA;ROSCAN;RUBsp;RUSACU;RUSACU;SALPAR;SALVER;SATMON;SCAMAR;SCOHIS;SEDACR;SEDREF;SEDSED;SED_sp;SELKRA;SESCAE;SHEARV;SILITA;SOLSP;STAREC;SMIASP;SONOLE;SONTER;TARAXA;TEUCHA;THYVUL;TORARV;TRIFSP;TYRLEU;VIBTIN;VINHIR;VINNIG;VULBRO
A;2;2;A2_2;N;43,6416667;3,870277778;70;0;0;0;70;0;0;0;0;0;0;111;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;15;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;10;0;0;0
A;2;3;A2_3;N;43,6408333;3,871111111;30;0;0;0;30;0;0;0;0;0;0;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0
B;3;1;B3_1;N;43,3834;3,5209;75;0;0;75;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;4,5;0;0;0;0;0;0;0;0;0;7,5;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;8;0;0;0
B;3;2;B3_2;N;43,3834;3,5209;60;0;0;60;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;7;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;10;0;0;0
B;3;3;B3_3;N;43,3834;3,5209;75;0;0;75;0;0;0;0;0;0;0;49;0;0;0;0;0;0;0;0;7,5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;8;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;3;0;0;0
A;11;1;A11_1;S;43,63978;3,871428;40;0;0;30;40;0;11;0;0;0;0;98;0;0;0;0;0;0;0;0;4;0;0;0;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;10;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;24;0;0;0
A;11;2;A11_2;S;43,63983;3,871385;58;0;0;0;58;0;0;0;0;0;0;52;0;0;0;0;0;0;0;0;1;0;0;7;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;1;0;0;0;0;1;0;0;0
A;11;3;A11_3;S;43,639804;3,871224;19;0;0;0;19;0;0;0;0;0;0;79;0;0;0;0;0;0;0;0;1;0;0;27;0;26;0;0;0;0;1;0;0;0;0;0;0;5;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0
A;7;1;A7_1;S;43,38284;3,52974;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0
A;7;2;A7_2;S;43,38662;3,52502;0;0;0;0;0;0;0;0;0;0;0;81;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;55;1;0;0;1;0;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
